Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_DSL,InternetService_Fiber optic,Internet Service(Yes/No),Churn
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11542289,0.0012750982,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.4647887,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.47826087,0.0,0.38507462,0.21586661,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.014084507,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3542288,0.010310409,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.6197183,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.47826087,0.0,0.23930348,0.21024117,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.014084507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5218905,0.015330025,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,0.09859155,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.80995023,0.09251096,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,1.0,0.29577464,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.70497507,0.22277868,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.12676056,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11442785,0.032667898,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.3802817,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8611941,0.34932494,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,1.0,0.8591549,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.47826087,0.0,0.37711442,0.40031734,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.16901408,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3154229,0.06561851,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.2112676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00696519,0.035541195,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.80281687,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.47826087,0.0,0.8169154,0.6533926,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.6760563,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.85024863,0.5789869,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.33802816,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8681591,0.3077833,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.95774645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9452736,0.9088796,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.7183098,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47826087,0.0,0.0238806,0.115872376,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0,0.9859155,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8800995,0.84969425,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.12676056,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.36766165,0.058798753,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.28169012,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.7144279,0.21279714,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.21293534,0.0024059545,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.15492958,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47826087,0.0,0.015422881,0.021168936,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018905476,0.00015578116,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
1.0,0.0,1.0,0.0,0.80281687,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.41442788,0.40229633,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.6760563,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41144276,0.3405839,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.4084507,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3686567,0.17445187,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.6478873,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.8069651,0.54585165,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11890547,0.0013154859,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7164179,0.7328237,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.22535211,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.46218902,0.12396723,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,1.0,0.0,0.9859155,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.7771144,0.77869266,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,1.0,0.0,0.014084507,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.7686567,0.018791828,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.36619717,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.47826087,0.0,0.47661692,0.21412992,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019402996,0.00016155094,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26865673,0.0030521578,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.8124378,0.83462965,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.056338023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.51194024,0.0343988,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,0.6338028,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.56268656,0.40728134,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.4647887,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.8766169,0.40739095,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,0.14084508,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.79203975,0.12538657,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,1.0,1.0,0.12676056,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.47826087,0.0,0.3114428,0.05272329,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.97183096,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5069651,0.56006813,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.22535211,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47826087,0.0,0.024875626,0.046093933,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.8732394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6129353,0.55881035,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,0.0,0.16901408,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5766169,0.111083545,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.6760563,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.65920395,0.44863835,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.014084507,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30845773,0.009023772,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.014084507,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6208955,0.014464573,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.7183098,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.61194026,0.48453724,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.95774645,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.45671642,0.48872608,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.5915493,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7164179,0.44079736,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.1971831,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.8044776,0.16242789,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,0.0,0.33802816,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5099502,0.20007502,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.09859155,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6208955,0.0709093,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,0.8309859,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.47826087,1.0,0.563184,0.51206446,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.23943661,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.76815915,0.20006347,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0,0.8732394,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.47826087,1.0,0.80995023,0.72610205,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,1.0,1.0,0.91549295,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.47826087,1.0,0.8975124,0.81439537,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.4647887,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06666668,0.101027,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.99999994,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8880597,0.90409654,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0,0.6478873,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.81840795,0.54099935,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.8309859,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7129353,0.62680596,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.99999994,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2373134,0.33962613,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.23943661,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.47826087,1.0,0.3597015,0.10827371,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.112676054,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7577114,0.096751675,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
